seq,cum_dist,elev,gradient_pct,gradient_smooth,x,y
80,379.9,196.94454956054688,-17.62,-38.27,1570720.4219439114,5173222.991238063
81,384.9,196.56993103027344,-7.49,-39.13,1570715.7548494004,5173224.785180321
82,385.8,196.84500122070312,30.2,-39.42,1570714.9046,5173225.112
83,390.8,195.77993774414062,-21.3,-37.44,1570710.159902674,5173223.534708878
84,395.8,195.5550537109375,-4.5,-5.36,1570705.4152053476,5173221.957417756
85,400.8,196.1040802001953,10.98,-7.45,1570700.6705080215,5173220.380126635
86,405.8,197.03555297851562,18.63,-7.5,1570695.9258106952,5173218.802835513
87,410.8,196.37057495117188,-13.3,4.47,1570691.181113369,5173217.225544391
88,415.8,194.47799682617188,-37.85,52.73,1570686.4364160427,5173215.6482532695
89,420.8,194.19239807128906,-5.71,24.27,1570681.6917187166,5173214.070962148
90,421.5,193.96253967285156,-34.03,42.78,1570681.0508000003,5173213.8579
91,426.5,193.05697631835938,-18.11,41.78,1570677.92646107,5173209.954247064
92,431.5,199.26702880859375,124.2,25.55,1570674.8021221398,5173206.050594127
93,434.3,215.24354553222656,561.01,51.27,1570673.0225999998,5173203.8272
94,439.3,198.52688598632812,-334.33,53.71,1570672.2469437087,5173198.887730665
95,444.3,208.4820098876953,199.1,49.42,1570671.4712874177,5173193.948261329
96,444.4,208.4820098876953,0.0,54.3,1570671.4518999998,5173193.8248
97,449.4,200.4851837158203,-159.94,44.91,1570674.6337609848,5173189.967889232
98,454.4,213.9663848876953,269.62,29.58,1570677.8156219698,5173186.110978464
99,455.9,213.80410766601562,-10.99,-33.43,1570678.7555,5173184.9717
100,460.9,211.16127014160156,-52.86,2.6,1570680.3447159121,5173180.230983515
101,465.9,212.1408233642578,19.59,-9.17,1570681.9339318245,5173175.490267031
102,468.8,208.6623077392578,-121.37,-12.84,1570682.8449,5173172.7728
103,473.8,206.44204711914062,-44.41,-4.45,1570679.627890134,5173168.945157446
104,477.5,201.5032501220703,-132.17,-25.54,1570677.2236000001,5173166.0845
105,482.5,204.60391235351562,62.01,-33.01,1570672.2673325003,5173166.744357917
106,485.7,206.79763793945312,69.69,-43.92,1570669.1469,5173167.1598
107,490.7,204.77609252929688,-40.43,-20.97,1570665.2027886107,5173170.23290679
108,492.9,203.29550170898438,-67.68,-9.76,1570663.4770999998,5173171.5775
109,497.9,205.18128967285156,37.72,3.59,1570660.3781031687,5173175.501301554
110,502.9,200.52392578125,-93.15,-23.74,1570657.2791063378,5173179.425103109
111,507.9,191.87698364257812,-172.94,-28.94,1570654.1801095067,5173183.348904664
112,511.2,200.9476776123047,272.01,-36.81,1570652.1133000003,5173185.9658
113,516.2,201.04580688476562,1.96,-19.2,1570650.1753413174,5173190.574955687
114,521.2,206.17063903808594,102.5,-23.35,1570648.2373826343,5173195.1841113735
115,526.2,184.53057861328125,-432.8,-31.94,1570646.2994239514,5173199.79326706
116,528.0,184.61822509765625,4.77,-26.32,1570645.5877,5173201.486
117,533.0,183.7754364013672,-16.86,-12.68,1570642.9043003323,5173205.704929511
118,538.0,191.44088745117188,153.31,-41.33,1570640.2209006646,5173209.923859023
119,543.0,185.77285766601562,-113.36,-45.59,1570637.5375009968,5173214.142788534
120,547.7,183.1099853515625,-56.79,-57.27,1570635.0212000003,5173218.099
121,552.7,181.54217529296875,-31.36,20.53,1570630.63025361,5173220.490566391
122,557.7,180.4013214111328,-22.82,3.09,1570626.2393072196,5173222.88213278
123,562.7,178.2421112060547,-43.18,7.95,1570621.8483608293,5173225.27369917
124,566.1,176.70254516601562,-44.92,-2.01,1570618.8383999998,5173226.9131
125,570.2,175.6553192138672,-25.95,10.07,1570614.8024000004,5173226.8954
126,575.2,196.80711364746094,423.04,15.36,1570611.1325390514,5173223.499502384
127,576.7,193.8660888671875,-187.08,7.26,1570609.9786999999,5173222.4318
128,581.7,195.69598388671875,36.6,10.69,1570610.5168269812,5173217.460842411
129,584.6,196.92819213867188,43.76,17.53,1570610.8198999995,5173214.6612
130,589.6,197.90093994140625,19.45,25.68,1570613.143112409,5173210.233708148
